trade_id,symbol,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,pnl_pct
1,BTC/USDT,2025-01-15 10:00:00,2025-01-15 14:30:00,LONG,42500.50,43100.25,0.1,59.975,1.41
2,ETH/USDT,2025-01-16 09:15:00,2025-01-16 11:45:00,LONG,2580.00,2615.50,1.5,53.25,2.06
3,SOL/USDT,2025-01-17 14:00:00,2025-01-17 16:20:00,LONG,98.50,94.20,10.0,-43.0,-4.37
4,BTC/USDT,2025-01-18 08:30:00,2025-01-18 15:00:00,LONG,43200.00,43850.00,0.05,32.5,1.50
5,ETH/USDT,2025-01-19 11:00:00,2025-01-19 13:30:00,SHORT,2650.00,2620.00,2.0,60.0,2.26
6,DOGE/USDT,2025-01-20 16:00:00,2025-01-20 18:15:00,LONG,0.0850,0.0825,5000.0,-12.5,-2.94
7,BTC/USDT,2025-01-21 07:45:00,2025-01-21 12:00:00,LONG,44000.00,44500.00,0.08,40.0,1.14
8,XRP/USDT,2025-01-22 13:20:00,2025-01-22 15:40:00,LONG,0.6200,0.6350,2000.0,30.0,2.42
9,ETH/USDT,2025-01-23 10:00:00,2025-01-23 14:30:00,LONG,2600.00,2550.00,1.0,-50.0,-1.92
10,SOL/USDT,2025-01-24 09:00:00,2025-01-24 11:30:00,LONG,102.00,108.50,5.0,32.5,6.37
11,BTC/USDT,2025-01-25 15:00:00,2025-01-25 18:00:00,SHORT,45000.00,44500.00,0.06,30.0,1.11
12,ETH/USDT,2025-01-26 08:00:00,2025-01-26 10:30:00,LONG,2520.00,2580.00,2.0,120.0,4.76
13,DOGE/USDT,2025-01-27 14:00:00,2025-01-27 16:30:00,LONG,0.0800,0.0785,3000.0,-4.5,-1.88
14,BTC/USDT,2025-01-28 11:30:00,2025-01-28 16:00:00,LONG,44800.00,45200.00,0.07,28.0,0.89
15,XRP/USDT,2025-01-29 09:45:00,2025-01-29 12:15:00,LONG,0.6100,0.6050,2500.0,-12.5,-2.05
