feature_set,model,model_type,horizon,sl,tp,threshold,trades,win_rate,pnl_pct,max_dd,profit_factor,trades_per_week,sharpe,final_balance
base,xgb_light,xgb,6,0.01,0.02,0.55,2996,0.332,-92.3,92.32,0.47,67.1,-15.18,769.92
base,xgb_light,xgb,6,0.01,0.02,0.6,2577,0.338,-88.67,88.74,0.49,57.7,-13.92,1133.21
base,xgb_light,xgb,6,0.01,0.02,0.65,2142,0.344,-81.62,81.76,0.51,48.0,-12.7,1838.34
base,xgb_light,xgb,6,0.01,0.02,0.7,1691,0.345,-72.69,72.75,0.54,37.9,-11.06,2730.68
base,xgb_light,xgb,6,0.015,0.03,0.55,2660,0.344,-89.48,89.52,0.48,59.6,-13.18,1052.01
base,xgb_light,xgb,6,0.015,0.03,0.6,2283,0.353,-84.91,84.95,0.5,51.1,-12.19,1508.82
base,xgb_light,xgb,6,0.015,0.03,0.65,1880,0.36,-77.39,77.54,0.52,42.1,-10.92,2260.75
base,xgb_light,xgb,6,0.015,0.03,0.7,1454,0.372,-65.87,65.94,0.57,32.6,-8.8,3412.85
base,xgb_light,xgb,6,0.02,0.04,0.55,2565,0.347,-88.56,88.58,0.48,57.5,-12.51,1144.31
base,xgb_light,xgb,6,0.02,0.04,0.6,2183,0.361,-82.95,82.99,0.51,48.9,-11.36,1705.31
base,xgb_light,xgb,6,0.02,0.04,0.65,1790,0.364,-75.31,75.5,0.53,40.1,-10.15,2468.7
base,xgb_light,xgb,6,0.02,0.04,0.7,1383,0.38,-62.95,63.03,0.58,31.0,-7.99,3704.89
base,xgb_light,xgb,8,0.01,0.02,0.55,2369,0.346,-86.33,86.43,0.52,53.1,-12.71,1366.63
base,xgb_light,xgb,8,0.01,0.02,0.6,1996,0.349,-81.21,81.21,0.53,44.7,-12.03,1878.74
base,xgb_light,xgb,8,0.01,0.02,0.65,1624,0.355,-71.55,71.55,0.55,36.4,-10.61,2844.72
base,xgb_light,xgb,8,0.01,0.02,0.7,1283,0.349,-63.32,63.32,0.58,28.7,-9.05,3668.15
base,xgb_light,xgb,8,0.015,0.03,0.55,1989,0.375,-78.83,79.15,0.56,44.6,-10.2,2117.22
base,xgb_light,xgb,8,0.015,0.03,0.6,1659,0.38,-72.75,72.93,0.56,37.2,-9.52,2725.02
base,xgb_light,xgb,8,0.015,0.03,0.65,1345,0.388,-61.25,61.95,0.6,30.1,-7.79,3875.17
base,xgb_light,xgb,8,0.015,0.03,0.7,1041,0.393,-51.57,52.8,0.63,23.3,-6.34,4842.77
base,xgb_light,xgb,8,0.02,0.04,0.55,1882,0.377,-76.76,77.18,0.56,42.2,-9.4,2324.32
base,xgb_light,xgb,8,0.02,0.04,0.6,1553,0.392,-69.69,69.91,0.57,34.8,-8.61,3031.02
base,xgb_light,xgb,8,0.02,0.04,0.65,1257,0.401,-59.3,60.0,0.6,28.2,-7.24,4069.7
base,xgb_light,xgb,8,0.02,0.04,0.7,961,0.41,-49.01,50.15,0.63,21.5,-5.81,5099.27
base,xgb_light,xgb,12,0.01,0.02,0.55,2151,0.353,-83.97,84.17,0.56,48.2,-11.36,1602.51
base,xgb_light,xgb,12,0.01,0.02,0.6,1865,0.349,-78.4,78.73,0.58,41.8,-10.36,2160.46
base,xgb_light,xgb,12,0.01,0.02,0.65,1534,0.35,-72.24,72.86,0.59,34.4,-9.58,2776.25
base,xgb_light,xgb,12,0.01,0.02,0.7,1227,0.363,-60.47,61.78,0.62,27.5,-7.85,3953.02
base,xgb_light,xgb,12,0.015,0.03,0.55,1694,0.388,-75.6,76.31,0.58,37.9,-9.14,2440.46
base,xgb_light,xgb,12,0.015,0.03,0.6,1461,0.382,-70.38,71.25,0.59,32.7,-8.2,2962.11
base,xgb_light,xgb,12,0.015,0.03,0.65,1185,0.395,-62.72,63.72,0.6,26.5,-7.51,3727.82
base,xgb_light,xgb,12,0.015,0.03,0.7,935,0.41,-47.92,50.64,0.66,20.9,-5.52,5207.5
base,xgb_light,xgb,12,0.02,0.04,0.55,1551,0.396,-73.25,74.02,0.57,34.7,-8.52,2675.32
base,xgb_light,xgb,12,0.02,0.04,0.6,1329,0.393,-66.39,67.25,0.6,29.8,-7.51,3360.56
base,xgb_light,xgb,12,0.02,0.04,0.65,1071,0.408,-58.98,60.44,0.61,24.0,-6.64,4101.95
base,xgb_light,xgb,12,0.02,0.04,0.7,839,0.429,-44.36,47.54,0.67,18.8,-4.96,5563.84
base,xgb_std,xgb,6,0.01,0.02,0.55,2195,0.331,-83.41,83.47,0.49,49.2,-13.33,1658.8
base,xgb_std,xgb,6,0.01,0.02,0.6,1841,0.335,-78.04,78.04,0.5,41.2,-12.48,2195.98
base,xgb_std,xgb,6,0.01,0.02,0.65,1491,0.339,-71.37,71.37,0.51,33.4,-11.52,2863.49
base,xgb_std,xgb,6,0.01,0.02,0.7,1171,0.342,-60.42,60.42,0.53,26.2,-9.67,3958.4
base,xgb_std,xgb,6,0.015,0.03,0.55,1945,0.35,-78.3,78.4,0.51,43.6,-11.31,2170.27
base,xgb_std,xgb,6,0.015,0.03,0.6,1620,0.36,-71.25,71.25,0.54,36.3,-9.98,2875.18
base,xgb_std,xgb,6,0.015,0.03,0.65,1300,0.363,-63.0,63.0,0.55,29.1,-8.92,3700.17
base,xgb_std,xgb,6,0.015,0.03,0.7,1013,0.362,-53.87,53.89,0.55,22.7,-7.89,4613.03
base,xgb_std,xgb,6,0.02,0.04,0.55,1864,0.355,-74.94,75.12,0.53,41.8,-10.19,2506.35
base,xgb_std,xgb,6,0.02,0.04,0.6,1544,0.369,-67.31,67.31,0.56,34.6,-8.72,3269.5
base,xgb_std,xgb,6,0.02,0.04,0.65,1239,0.369,-60.07,60.07,0.57,27.8,-7.76,3993.44
base,xgb_std,xgb,6,0.02,0.04,0.7,964,0.376,-50.32,50.34,0.58,21.6,-6.78,4968.19
base,xgb_std,xgb,8,0.01,0.02,0.55,1776,0.341,-77.94,78.02,0.52,39.8,-11.8,2206.11
base,xgb_std,xgb,8,0.01,0.02,0.6,1495,0.337,-73.82,73.85,0.52,33.5,-11.31,2617.76
